d,l,f,c,k,ri,rl,ru,rs
1000,2000,5,1000000,25,0,0.5,1.5,0.1
rho,numArrivals,numDepartures,numDropped,numIdles,numObservations,E[N],P_IDLE,P_LOSS
0.5,251278,251276,0,619584,1249441,1.01552,0.495889,0
0.6,300891,300891,0,597737,1500752,1.52277,0.398292,0
0.7,350068,350044,17,525759,1749844,2.31182,0.30046,4.8562e-05
0.8,399919,399638,281,399450,1999815,3.95228,0.199743,0.000702642
0.9,449182,446099,3081,243814,2250199,7.07999,0.108352,0.00685914
1,499951,481050,18891,95808,2499938,12.4482,0.0383242,0.0377857
1.1,550012,495414,54587,24946,2751865,17.3526,0.00906512,0.0992469
1.2,599701,500105,99583,5508,2999713,20.12,0.00183618,0.166054
1.3,651447,500549,150873,1809,3251402,21.6654,0.000556375,0.231597
1.4,699149,499894,199243,214,3496310,22.5024,6.12074e-05,0.284979
