d,l,f,c,k,ri,rl,ru,rs
1000,2000,5,1000000,-1,0,0.25,0.95,0.1
rho,numArrivals,numDepartures,numDropped,numIdles,numObservations,E[N],P_IDLE,P_LOSS
0.25,126117,126117,0,467528,624573,0.336303,0.748556,0
0.35,175214,175214,0,569483,874989,0.535327,0.650846,0
0.45,225374,225373,0,616721,1125764,0.825401,0.547824,0
0.55,275647,275646,0,619267,1377295,1.22856,0.449626,0
0.65,324902,324900,0,569268,1624217,1.86677,0.350488,0
0.75,376205,376204,0,462391,1875011,3.02821,0.246607,0
0.85,425236,425235,0,315659,2123509,5.69273,0.14865,0
0.95,475436,475426,0,119525,2374167,18.95,0.050344,0
