d,l,f,c,k,ri,rl,ru,rs
1000,2000,5,1000000,50,0,0.5,1.5,0.1
rho,numArrivals,numDepartures,numDropped,numIdles,numObservations,E[N],P_IDLE,P_LOSS
0.5,250130,250129,0,625151,1250137,1.00648,0.500066,0
0.6,300356,300356,0,601737,1500575,1.483,0.401004,0
0.7,349724,349717,0,523160,1749571,2.37451,0.299022,0
0.8,399419,399413,0,398700,1999355,4.00825,0.199414,0
0.9,449978,449683,247,231295,2247913,8.72334,0.102893,0.000548916
1,500881,490507,10373,45729,2501732,25.2664,0.0182789,0.0207095
1.1,550058,499981,50072,2876,2748528,40.344,0.00104638,0.0910304
1.2,599849,500247,99556,33,2998882,45.0284,1.10041e-05,0.165968
1.3,649571,499982,149539,13,3250350,46.6447,3.99957e-06,0.230212
1.4,700127,499809,200270,14,3497259,47.4972,4.00314e-06,0.286048
