d,l,f,c,k,ri,rl,ru,rs
1000,2000,5,1000000,10,0,0.5,1.5,0.1
rho,numArrivals,numDepartures,numDropped,numIdles,numObservations,E[N],P_IDLE,P_LOSS
0.5,250217,250083,134,623372,1249201,1.00264,0.499017,0.000535535
0.6,300700,299907,791,602253,1500097,1.45234,0.401476,0.00263053
0.7,348989,346088,2901,538056,1748904,2.10229,0.307653,0.00831258
0.8,399108,389841,9261,439644,2000712,2.95115,0.219744,0.0232042
0.9,449365,427084,22273,330035,2249594,3.93429,0.146709,0.0495655
1,500412,454598,45806,223912,2500707,5.02484,0.0895395,0.0915366
1.1,550384,473464,76915,146985,2749622,5.93476,0.0534564,0.139748
1.2,600804,485062,115734,91254,3003810,6.73122,0.0303794,0.192632
1.3,651330,491337,159990,56770,3248761,7.34587,0.0174744,0.245636
1.4,699418,495556,203856,36061,3496726,7.76611,0.0103128,0.291465
