d,l,f,c,k,ri,rl,ru,rs
1000,2000,5,1000000,10,0,0.5,1.51,0.1
rho,numArrivals,numDepartures,numDropped,numIdles,numObservations,E[N],P_IDLE,P_LOSS
0.5,250319,250169,150,625134,1251480,1.00009,0.499516,0.000599235
0.6,299877,299246,628,602275,1498730,1.4525,0.401857,0.00209419
0.7,348686,345723,2962,541667,1749220,2.07857,0.309662,0.00849475
0.8,399718,390195,9523,437326,1999036,2.9791,0.218768,0.0238243
0.9,449452,427386,22059,329924,2253495,3.9595,0.146405,0.0490798
1,499452,454278,45169,229416,2498679,4.98741,0.0918149,0.0904371
1.1,548917,472395,76521,149519,2749180,5.91896,0.0543868,0.139404
1.2,599770,483662,116101,91554,3000143,6.7236,0.0305165,0.193576
1.3,649754,492273,157473,60241,3251703,7.28737,0.018526,0.242358
1.4,700037,494825,205202,37931,3504043,7.76031,0.0108249,0.29313
1.5,750799,496350,254439,22137,3749882,8.13546,0.00590339,0.338891
