d,l,f,c,k,ri,rl,ru,rs
1000,2000,5,1000000,50,0,0.5,1.5,0.1
rho,numArrivals,numDepartures,numDropped,numIdles,numObservations,E[N],P_IDLE,P_LOSS
0.5,249943,249937,0,622461,1246832,1.00439,0.499234,0
0.6,300105,300105,0,600436,1501322,1.49054,0.399938,0
0.7,350057,350056,0,524172,1750376,2.34292,0.299463,0
0.8,400479,400467,0,398267,2000859,3.99154,0.199048,0
0.9,450167,449957,208,227487,2249759,8.75573,0.101116,0.000462051
1,500048,489623,10377,43805,2498803,25.6215,0.0175304,0.020752
1.1,549632,499912,49714,2314,2748394,40.1909,0.000841946,0.0904496
1.2,599839,500064,99728,1,3000941,44.9649,3.33229e-07,0.166258
1.3,648821,500414,148359,24,3252802,46.6,7.37825e-06,0.228659
1.4,699772,499696,200028,5,3501370,47.4777,1.42801e-06,0.285847
