d,l,f,c,k,ri,rl,ru,rs
1000,2000,5,1000000,25,0,0.5,1.51,0.1
rho,numArrivals,numDepartures,numDropped,numIdles,numObservations,E[N],P_IDLE,P_LOSS
0.5,249645,249645,0,626314,1250192,0.999285,0.500974,0
0.6,299657,299655,0,600287,1503372,1.51316,0.399294,0
0.7,349190,349165,18,532437,1752293,2.27887,0.303852,5.15479e-05
0.8,401025,400632,391,397042,2000924,4.00653,0.198429,0.000975002
0.9,449392,446173,3216,244760,2248904,7.09013,0.108835,0.00715634
1,499924,480557,19344,91079,2501464,12.6115,0.0364103,0.0386939
1.1,550067,495401,54646,23970,2749108,17.3401,0.00871919,0.0993443
1.2,600963,498794,102152,4980,2999887,20.2678,0.00166006,0.169981
1.3,649625,498729,150880,1151,3246042,21.7065,0.000354586,0.232257
1.4,698617,501755,196840,411,3499234,22.448,0.000117454,0.281757
1.5,750056,499298,250736,82,3750357,23.0323,2.18646e-05,0.33429
