d,l,f,c,k,ri,rl,ru,rs
1000,2000,5,1000000,10,0,0.5,1.5,0.1
rho,numArrivals,numDepartures,numDropped,numIdles,numObservations,E[N],P_IDLE,P_LOSS
0.5,250345,250256,89,623704,1249318,0.99827,0.499236,0.000355509
0.6,300059,299263,794,601715,1500814,1.47174,0.400926,0.00264615
0.7,349748,346766,2980,537312,1750347,2.09248,0.306975,0.00852042
0.8,399183,390179,8997,443656,2000287,2.93518,0.221796,0.0225385
0.9,450683,427342,23334,329398,2248485,3.96118,0.146498,0.0517748
1,499468,454584,44879,227150,2499366,4.98446,0.090883,0.0898536
1.1,549073,472277,76790,150612,2749537,5.92042,0.0547772,0.139854
1.2,599873,483916,115948,94094,2997867,6.71223,0.031387,0.193288
1.3,649528,490900,158619,60118,3254578,7.30274,0.0184718,0.244207
1.4,701528,495143,206375,36420,3499321,7.77003,0.0104077,0.294179
