d,l,f,c,k,ri,rl,ru,rs
1000,2000,5,1000000,25,0,0.5,1.51,0.1
rho,numArrivals,numDepartures,numDropped,numIdles,numObservations,E[N],P_IDLE,P_LOSS
0.5,250748,250748,0,620798,1248935,1.01258,0.497062,0
0.6,300531,300526,3,601035,1501478,1.48926,0.400296,9.98233e-06
0.7,349151,349140,9,528315,1750615,2.29092,0.301788,2.57768e-05
0.8,400606,400164,435,398438,2000483,3.99265,0.199171,0.00108585
0.9,448779,445404,3367,251798,2250585,7.02715,0.111881,0.00750258
1,499049,480595,18434,96555,2498617,12.3155,0.0386434,0.0369383
1.1,549478,496597,52878,25346,2748594,17.2977,0.00922144,0.0962332
1.2,599925,499005,100906,6383,2998732,20.2207,0.00212857,0.168198
1.3,650561,500579,149957,1031,3250674,21.691,0.000317165,0.230504
1.4,699914,499517,200373,189,3499991,22.5239,5.40001e-05,0.286282
1.5,748843,499444,249379,76,3751205,23.0044,2.02602e-05,0.333019
