d,l,f,c,k,ri,rl,ru,rs
1000,2000,5,1000000,25,0,0.5,1.5,0.1
rho,numArrivals,numDepartures,numDropped,numIdles,numObservations,E[N],P_IDLE,P_LOSS
0.5,249065,249065,0,628485,1250626,0.994568,0.502536,0
0.6,300479,300478,0,598757,1499735,1.50905,0.399242,0
0.7,350343,350322,19,523033,1748756,2.34373,0.299089,5.42326e-05
0.8,399710,399382,321,404777,2000520,3.91034,0.202336,0.000803082
0.9,451050,447547,3491,236948,2249687,7.28229,0.105325,0.00773972
1,500942,481148,19788,97380,2503354,12.51,0.0388998,0.0395016
1.1,549881,495408,54448,26483,2751173,17.2834,0.00962608,0.0990178
1.2,599325,498988,100312,5296,3003580,20.2067,0.00176323,0.167375
1.3,650258,500062,150172,1073,3250097,21.6735,0.000330144,0.230942
1.4,698224,498382,199824,253,3500633,22.516,7.22726e-05,0.286189
