d,l,f,c,k,ri,rl,ru,rs
1000,2000,5,1000000,50,0,0.5,1.51,0.1
rho,numArrivals,numDepartures,numDropped,numIdles,numObservations,E[N],P_IDLE,P_LOSS
0.5,249824,249824,0,627435,1254183,0.996589,0.500274,0
0.6,300172,300169,0,598939,1502436,1.49166,0.398645,0
0.7,350178,350172,0,525205,1750495,2.32334,0.300032,0
0.8,399396,399390,2,402671,2000234,3.95997,0.201312,5.00756e-06
0.9,450379,450205,164,224963,2248598,8.84755,0.100046,0.000364138
1,500332,489911,10389,50170,2504896,25.3544,0.0200288,0.0207642
1.1,550260,499689,50524,2060,2750376,40.6178,0.000748989,0.0918184
1.2,599932,499204,100692,91,3000012,45.0325,3.03332e-05,0.167839
1.3,650814,499225,151544,0,3253379,46.7177,0,0.232853
1.4,699424,499844,199538,23,3500149,47.5069,6.57115e-06,0.285289
1.5,750050,501038,248962,14,3750623,47.9924,3.73271e-06,0.331927
